DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
ECCO Ocean Momentum Dissipative Tendency in Y - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_Y_LLC0090GRID_MONTHLY_V4R6,OCEAN_MOMENTUM_DISS_TEND_Y_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-YMD46,V4r6
ECCO Ocean Momentum Tendency in X - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_TEND_X_LLC0090GRID_DAILY_V4R6,OCEAN_MOMENTUM_TEND_X_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-XMT46,V4r6
ECCO Ocean Momentum Tendency in X - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_TEND_X_LLC0090GRID_MONTHLY_V4R6,OCEAN_MOMENTUM_TEND_X_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-XMT46,V4r6
ECCO Ocean Momentum Tendency in Y - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_TEND_Y_LLC0090GRID_DAILY_V4R6,OCEAN_MOMENTUM_TEND_Y_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-YMT46,V4r6
ECCO Ocean Momentum Tendency in Y - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_TEND_Y_LLC0090GRID_MONTHLY_V4R6,OCEAN_MOMENTUM_TEND_Y_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-YMT46,V4r6
ECCO Ocean Potential Temperature Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_TEMPERATURE_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-3TF46,V4r6
ECCO Ocean Potential Temperature Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_FLUX_LLC0090GRID_MONTHLY_V4R6,OCEAN_TEMPERATURE_FLUX_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-3TF46,V4r6
ECCO Ocean Salinity Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_SALINITY_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_SALINITY_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-3SF46,V4r6
ECCO Ocean Salinity Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_SALINITY_FLUX_LLC0090GRID_MONTHLY_V4R6,OCEAN_SALINITY_FLUX_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-3SF46,V4r6
ECCO Ocean Temperature and Salinity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_05DEG_DAILY_V4R6,OCEAN_TEMPERATURE_SALINITY_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-OTS46,V4r6
ECCO Ocean Temperature and Salinity - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_LLC0090GRID_DAILY_V4R6,OCEAN_TEMPERATURE_SALINITY_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-OTS46,V4r6
ECCO Ocean Temperature and Salinity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_05DEG_MONTHLY_V4R6,OCEAN_TEMPERATURE_SALINITY_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-OTS46,V4r6
ECCO Ocean Temperature and Salinity - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_LLC0090GRID_MONTHLY_V4R6,OCEAN_TEMPERATURE_SALINITY_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-OTS46,V4r6
ECCO Ocean Temperature and Salinity - Snapshot llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_LLC0090GRID_SNAPSHOT_V4R6,OCEAN_TEMPERATURE_SALINITY_snap_1992-01-01T000000_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5S-OTS46,V4r6
ECCO Ocean Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OCEAN_VELOCITY_05DEG_DAILY_V4R6,OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-OVE46,V4r6
ECCO Ocean Velocity - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_VELOCITY_LLC0090GRID_DAILY_V4R6,OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-OVE46,V4r6
ECCO Ocean Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OCEAN_VELOCITY_05DEG_MONTHLY_V4R6,OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-OVE46,V4r6
ECCO Ocean Velocity - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_VELOCITY_LLC0090GRID_MONTHLY_V4R6,OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-OVE46,V4r6
ECCO Ocean Volume Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_VOLUME_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_VOLUME_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-3VF46,V4r6
ECCO Ocean Volume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_VOLUME_FLUX_LLC0090GRID_MONTHLY_V4R6,OCEAN_VOLUME_FLUX_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-3VF46,V4r6
ECCO SBO Core Products - Snapshot (Version 4 Release 6),ECCO_L4_SBO_CORE_TIME_SERIES_SNAPSHOT_V4R6,SBO_CORE_PRODUCTS_snap_ECCO_V4r6_1D.nc,10.5067/ECTSS-SBO46,V4r6
ECCO Sea Surface Height - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SSH_05DEG_DAILY_V4R6,SEA_SURFACE_HEIGHT_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-SSH46,V4r6
ECCO Sea Surface Height - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SSH_LLC0090GRID_DAILY_V4R6,SEA_SURFACE_HEIGHT_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-SSH46,V4r6
ECCO Sea Surface Height - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SSH_05DEG_MONTHLY_V4R6,SEA_SURFACE_HEIGHT_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-SSH46,V4r6
ECCO Sea Surface Height - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SSH_LLC0090GRID_MONTHLY_V4R6,SEA_SURFACE_HEIGHT_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-SSH46,V4r6
ECCO Sea Surface Height - Snapshot llc90 Grid (Version 4 Release 6),ECCO_L4_SSH_LLC0090GRID_SNAPSHOT_V4R6,SEA_SURFACE_HEIGHT_snap_1992-01-01T000000_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5S-SSH46,V4r6
ECCO Sea-Ice and Snow Concentration and Thickness - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SEA_ICE_CONC_THICKNESS_05DEG_DAILY_V4R6,SEA_ICE_CONC_THICKNESS_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-ICO46,V4r6
