concept-id,DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
C1991543821-POCLOUD,ECCO Sea-Ice and Snow Concentration and Thickness - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_LLC0090GRID_SNAPSHOT_V4r5,SEA_ICE_CONC_THICKNESS_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5S-ICO44,V4r5
C1991543731-POCLOUD,ECCO Sea-Ice and Snow Horizontal Volume Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_HORIZ_VOLUME_FLUX_LLC0090GRID_DAILY_V4r5,SEA_ICE_HORIZ_VOLUME_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-SIH44,V4r5
C1991543724-POCLOUD,ECCO Sea-Ice and Snow Horizontal Volume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_HORIZ_VOLUME_FLUX_LLC0090GRID_MONTHLY_V4r5,SEA_ICE_HORIZ_VOLUME_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-SIH44,V4r5
C1991543807-POCLOUD,ECCO Sea-Ice Salt Plume Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_SALT_PLUME_FLUX_LLC0090GRID_DAILY_V4r5,SEA_ICE_SALT_PLUME_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-ISP44,V4r5
C1991543730-POCLOUD,ECCO Sea-Ice Salt Plume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_SALT_PLUME_FLUX_LLC0090GRID_MONTHLY_V4r5,SEA_ICE_SALT_PLUME_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-ISP44,V4r5
C1990404817-POCLOUD,ECCO Sea-Ice Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_05DEG_DAILY_V4r5,SEA_ICE_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-SIV44,V4r5
C1990404790-POCLOUD,ECCO Sea-Ice Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_05DEG_MONTHLY_V4r5,SEA_ICE_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-SIV44,V4r5
C1991543765-POCLOUD,ECCO Sea-Ice Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_LLC0090GRID_DAILY_V4r5,SEA_ICE_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-SIV44,V4r5
C1991543700-POCLOUD,ECCO Sea-Ice Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_LLC0090GRID_MONTHLY_V4r5,SEA_ICE_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-SIV44,V4r5
C1991543768-POCLOUD,ECCO Sea-Ice Velocity - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_LLC0090GRID_SNAPSHOT_V4r5,SEA_ICE_VELOCITY_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5S-SIV44,V4r5
